央卫频道,#genre#
CCTV3,http://111.56.90.5/000000000000/1000000001000011218/1.m3u8$【111】
CCTV4,http://111.56.90.5/000000000000/5000000011000031102/1.m3u8$【111】
CCTV4,http://111.56.90.5/000000000000/1000000002000031664/1.m3u8$【111】
CCTV4,http://111.56.90.5/000000000000/1000000005000265004/1.m3u8$【111】
CCTV5,http://111.56.90.5/000000000000/1000000001000004794/1.m3u8$【111】
CCTV5,http://111.56.90.5/000000000000/1000000005000265005/1.m3u8$【111】
CCTV5,http://111.56.90.5/000000000000/6000000001000016431/1.m3u8$【111】
CCTV5+,http://111.56.90.5/000000000000/6000000001000015875/1.m3u8$【111】
CCTV5+,http://111.56.90.5/000000000000/1000000005000265016/1.m3u8$【111】
CCTV5+,http://111.56.90.5/000000000000/1000000001000020505/1.m3u8$【111】
CCTV6,http://111.56.90.5/000000000000/6000000001000004574/1.m3u8$【111】
CCTV6,http://111.56.90.5/000000000000/1000000005000265006/1.m3u8$【111】
CCTV6,http://111.56.90.5/000000000000/1000000001000001737/1.m3u8$【111】
CCTV7,http://111.56.90.5/000000000000/6000000001000009055/1.m3u8$【111】
CCTV7,http://111.56.90.5/000000000000/1000000005000265007/1.m3u8$【111】
CCTV7,http://111.56.90.5/000000000000/1000000001000024341/1.m3u8$【111】
CCTV8,http://111.56.90.5/000000000000/6000000001000001070/1.m3u8$【111】
CCTV8,http://111.56.90.5/000000000000/1000000005000265008/1.m3u8$【111】
CCTV8,http://111.56.90.5/000000000000/1000000001000003736/1.m3u8$【111】
CCTV9,http://111.56.90.5/000000000000/6000000001000032162/1.m3u8$【111】
CCTV9,http://111.56.90.5/000000000000/1000000005000265009/1.m3u8$【111】
CCTV9,http://111.56.90.5/000000000000/1000000001000014583/1.m3u8$【111】
CCTV10,http://111.56.90.5/000000000000/5000000004000012827/1.m3u8$【111】
CCTV10,http://111.56.90.5/000000000000/1000000005000265010/1.m3u8$【111】
CCTV10,http://111.56.90.5/000000000000/1000000001000023734/1.m3u8$【111】
CCTV11,http://111.56.90.5/000000000000/5000000011000031106/1.m3u8$【111】
CCTV11,http://111.56.90.5/000000000000/1000000005000265011/1.m3u8$【111】
CCTV11,http://111.56.90.5/000000000000/1000000002000019789/1.m3u8$【111】
CCTV12,http://111.56.90.5/000000000000/6000000001000022586/1.m3u8$【111】
CCTV12,http://111.56.90.5/000000000000/1000000005000265012/1.m3u8$【111】
CCTV12,http://111.56.90.5/000000000000/1000000001000032494/1.m3u8$【111】
CCTV13,http://111.56.90.5/000000000000/5000000011000031108/1.m3u8$【111】
CCTV13,http://111.56.90.5/000000000000/1000000005000265101/1.m3u8$【111】
CCTV13,http://111.56.90.5/000000000000/1000000002000021303/1.m3u8$【111】
CCTV14,http://111.56.90.5/000000000000/5000000004000006673/1.m3u8$【111】
CCTV14,http://111.56.90.5/000000000000/1000000005000265013/1.m3u8$【111】
CCTV14,http://111.56.90.5/000000000000/1000000001000008170/1.m3u8$【111】
CCTV15,http://111.56.90.5/000000000000/5000000011000031109/1.m3u8$【111】
CCTV15,http://111.56.90.5/000000000000/1000000005000265014/1.m3u8$【111】
CCTV15,http://111.56.90.5/000000000000/1000000002000008163/1.m3u8$【111】
CCTV16,http://111.56.90.5/000000000000/5000000008000023254/1.m3u8$【111】
CCTV16,http://111.56.90.5/000000000000/1000000006000233001/1.m3u8$【111】
CCTV16,http://111.56.90.5/000000000000/1000000006000233002/1.m3u8$【111】
CCTV17,http://111.56.90.5/000000000000/1000000005000056836/1.m3u8$【111】
CCTV17,http://111.56.90.5/000000000000/1000000005000265015/1.m3u8$【111】
CCTV17,http://111.56.90.5/000000000000/1000000006000268004/1.m3u8$【111】

CCTV1,http://114.242.62.109:888/hls/1/index.m3u8$北京【114】
CCTV2,http://114.242.62.109:888/hls/2/index.m3u8$北京【114】
CCTV3,http://114.242.62.109:888/hls/3/index.m3u8$北京【114】
CCTV4,http://114.242.62.109:888/hls/4/index.m3u8$北京【114】
CCTV5,http://114.242.62.109:888/hls/5/index.m3u8$北京【114】
CCTV5+,http://114.242.62.109:888/hls/16/index.m3u8$北京【114】
CCTV6,http://114.242.62.109:888/hls/6/index.m3u8$北京【114】
CCTV7,http://114.242.62.109:888/hls/7/index.m3u8$北京【114】
CCTV7,http://114.242.62.109:888/hls/24/index.m3u8$北京【114】
CCTV8,http://114.242.62.109:888/hls/8/index.m3u8$北京【114】
CCTV9,http://114.242.62.109:888/hls/9/index.m3u8$北京【114】
CCTV10,http://114.242.62.109:888/hls/10/index.m3u8$北京【114】
CCTV11,http://114.242.62.109:888/hls/11/index.m3u8$北京【114】
CCTV12,http://114.242.62.109:888/hls/12/index.m3u8$北京【114】
CCTV13,http://114.242.62.109:888/hls/13/index.m3u8$北京【114】
CCTV14,http://114.242.62.109:888/hls/14/index.m3u8$北京【114】
CCTV15,http://114.242.62.109:888/hls/15/index.m3u8$北京【114】
CETV1,http://111.56.90.5/000000000000/5000000002000002652/1.m3u8$【111】
CETV1,http://111.56.90.5/000000000000/6000000003000018981/1.m3u8$【111】
CETV1,http://111.56.90.5/000000000000/1000000002000027253/1.m3u8$【111】
CETV2,http://111.56.90.5/000000000000/1000000005000266004/1.m3u8$【111】
CETV2,http://111.56.90.5/000000000000/2000000003000000047/1.m3u8$【111】
CETV2,http://111.56.90.5/000000000000/5000000011000031201/1.m3u8$【111】
CETV4,http://111.56.90.5/000000000000/1000000005000025333/1.m3u8$【111】
CETV4,http://111.56.90.5/000000000000/5000000011000031126/1.m3u8$【111】
CETV4,http://111.56.90.5/000000000000/5000000006000012123/1.m3u8$【111】
求索生活,http://111.56.90.5/000000000000/6000000002000003382/1.m3u8$【111】
求索科学,http://111.56.90.5/000000000000/6000000002000032344/1.m3u8$【111】
求索纪录,http://111.56.90.5/000000000000/6000000002000032052/1.m3u8$【111】
求索动物,http://111.56.90.5/000000000000/6000000002000010046/1.m3u8$【111】
卡酷少儿,http://111.56.90.5/000000000000/5000000011000265008/1.m3u8$【111】
黑莓动画,http://111.56.90.5/000000000000/1000000004000021734/1.m3u8$【111】
黑莓电影,http://111.56.90.5/000000000000/1000000004000019624/1.m3u8$【111】

北京卫视,http://111.56.90.5/000000000000/1000000005000265027/1.m3u8$【111】
北京卫视,http://111.56.90.5/000000000000/1000000001000017156/1.m3u8$【111】
北京卫视,http://111.56.90.5/000000000000/6000000001000020451/1.m3u8$【111】
北京卫视,http://111.56.90.5/000000000000/1000000001000017156/1.m3u8$【111】
东方卫视,http://111.56.90.5/000000000000/1000000005000265018/1.m3u8$【111】
东方卫视,http://111.56.90.5/000000000000/6000000001000003639/1.m3u8$【111】
东方卫视,http://111.56.90.5/000000000000/5000000010000032246/1.m3u8$【111】
湖南卫视,http://111.56.90.5/000000000000/1000000005000265024/1.m3u8$【111】
湖南卫视,http://111.56.90.5/000000000000/6000000001000018044/1.m3u8$【111】
湖南卫视,http://111.56.90.5/000000000000/5000000004000006692/1.m3u8$【111】
江苏卫视,http://111.56.90.5/000000000000/1000000005000265030/1.m3u8$【111】
江苏卫视,http://111.56.90.5/000000000000/1000000001000001828/1.m3u8$【111】
江苏卫视,http://111.56.90.5/000000000000/6000000001000014861/1.m3u8$【111】
浙江卫视,http://111.56.90.5/000000000000/1000000005000265031/1.m3u8$【111】
浙江卫视,http://111.56.90.5/000000000000/1000000001000014260/1.m3u8$【111】
浙江卫视,http://111.56.90.5/000000000000/5000000004000007275/1.m3u8$【111】
天津卫视,http://111.56.90.5/000000000000/1000000005000265026/1.m3u8$【111】
天津卫视,http://111.56.90.5/000000000000/6000000001000009186/1.m3u8$【111】
天津卫视,http://111.56.90.5/000000000000/5000000004000006827/1.m3u8$【111】
四川卫视,http://111.56.90.5/000000000000/1000000002000016825/1.m3u8$【111】
四川卫视,http://111.56.90.5/000000000000/5000000004000006119/1.m3u8$【111】
四川卫视,http://111.56.90.5/000000000000/6677438387677364824/1.m3u8$【111】
重庆卫视,http://111.56.90.5/000000000000/1000000002000018937/1.m3u8$【111】
重庆卫视,http://111.56.90.5/000000000000/1000000005000265017/1.m3u8$【111】
重庆卫视,http://111.56.90.5/000000000000/1000000001000001096/1.m3u8$【111】
重庆卫视,http://111.56.90.5/000000000000/5000000004000025797/1.m3u8$【111】
山东卫视,http://111.56.90.5/000000000000/1000000005000265019/1.m3u8$【111】
山东卫视,http://111.56.90.5/000000000000/6000000001000004134/1.m3u8$【111】
山东卫视,http://111.56.90.5/000000000000/1000000001000016568/1.m3u8$【111】
山西卫视,http://111.56.90.5/000000000000/1000000002000021220/1.m3u8$【111】
山西卫视,http://111.56.90.5/000000000000/4821787565788875765/1.m3u8$【111】
山西卫视,http://111.56.90.5/000000000000/7582242998896540942/1.m3u8$【111】
山西卫视,http://111.56.90.5/000000000000/5000000006000040023/1.m3u8$【111】
陕西卫视,http://111.56.90.5/000000000000/1000000002000007495/1.m3u8$【111】
陕西卫视,http://111.56.90.5/000000000000/7120278140251237664/1.m3u8$【111】
陕西卫视,http://111.56.90.5/000000000000/5000000006000040017/1.m3u8$【111】
辽宁卫视,http://111.56.90.5/000000000000/1000000002000024033/1.m3u8$【111】
辽宁卫视,http://111.56.90.5/000000000000/1000000005000265022/1.m3u8$【111】
辽宁卫视,http://111.56.90.5/000000000000/5000000004000011671/1.m3u8$【111】
江西卫视,http://111.56.90.5/000000000000/1000000001000013731/1.m3u8$【111】
江西卫视,http://111.56.90.5/000000000000/1000000005000265032/1.m3u8$【111】
江西卫视,http://111.56.90.5/000000000000/1000000006000268001/1.m3u8$【111】
江西卫视,http://111.56.90.5/000000000000/5000000004000011210/1.m3u8$【111】
吉林卫视,http://111.56.90.5/000000000000/1000000002000027730/1.m3u8$【111】
吉林卫视,http://111.56.90.5/000000000000/5000000011000031117/1.m3u8$【111】
吉林卫视,http://111.56.90.5/000000000000/5000000006000040013/1.m3u8$【111】
湖北卫视,http://111.56.90.5/000000000000/1000000005000265023/1.m3u8$【111】
湖北卫视,http://111.56.90.5/000000000000/6000000001000015436/1.m3u8$【111】
湖北卫视,http://111.56.90.5/000000000000/1000000001000024621/1.m3u8$【111】
河南卫视,http://111.56.90.5/000000000000/1000000002000027731/1.m3u8$【111】
河南卫视,http://111.56.90.5/000000000000/5000000011000031119/1.m3u8$【111】
河南卫视,http://111.56.90.5/000000000000/5000000005000017925/1.m3u8$【111】
河北卫视,http://111.56.90.5/000000000000/1000000002000017118/1.m3u8$【111】
河北卫视,http://111.56.90.5/000000000000/5000000006000040016/1.m3u8$【111】
河北卫视,http://111.56.90.5/000000000000/7314569012827301115/1.m3u8$【111】
东南卫视,http://111.56.90.5/000000000000/1000000005000265033/1.m3u8$【111】
东南卫视,http://111.56.90.5/000000000000/1000000002000009263/1.m3u8$【111】
东南卫视,http://111.56.90.5/000000000000/5000000004000010584/1.m3u8$【111】
安徽卫视,http://111.56.90.5/000000000000/1000000005000265025/1.m3u8$【111】
安徽卫视,http://111.56.90.5/000000000000/6000000001000009954/1.m3u8$【111】
安徽卫视,http://111.56.90.5/000000000000/1000000001000030159/1.m3u8$【111】
深圳卫视,http://111.56.90.5/000000000000/1000000005000265028/1.m3u8$【111】
深圳卫视,http://111.56.90.5/000000000000/6000000001000002116/1.m3u8$【111】
深圳卫视,http://111.56.90.5/000000000000/5000000004000007410/1.m3u8$【111】
广东卫视,http://111.56.90.5/000000000000/1000000005000265034/1.m3u8$【111】
广东卫视,http://111.56.90.5/000000000000/6000000001000031076/1.m3u8$【111】
广东卫视,http://111.56.90.5/000000000000/1000000001000014176/1.m3u8$【111】
广西卫视,http://111.56.90.5/000000000000/1000000002000019837/1.m3u8$【111】
广西卫视,http://111.56.90.5/000000000000/5000000011000031118/1.m3u8$【111】
广西卫视,http://111.56.90.5/000000000000/5000000006000040014/1.m3u8$【111】
甘肃卫视,http://111.56.90.5/000000000000/1000000002000017827/1.m3u8$【111】
甘肃卫视,http://111.56.90.5/000000000000/5000000011000031121/1.m3u8$【111】
甘肃卫视,http://111.56.90.5/000000000000/5000000006000040021/1.m3u8$【111】
青海卫视,http://111.56.90.5/000000000000/1000000002000013359/1.m3u8$【111】
青海卫视,http://111.56.90.5/000000000000/5000000006000040015/1.m3u8$【111】
青海卫视,http://111.56.90.5/000000000000/6721180114242078041/1.m3u8$【111】
青海卫视,http://111.56.90.5/000000000000/6399324389404552555/1.m3u8$【111】
宁夏卫视,http://111.56.90.5/000000000000/1000000002000031451/1.m3u8$【111】
宁夏卫视,http://111.56.90.5/000000000000/5000000006000040022/1.m3u8$【111】
宁夏卫视,http://111.56.90.5/000000000000/5793735126731753680/1.m3u8$【111】
海南卫视,http://111.56.90.5/000000000000/1000000002000023773/1.m3u8$【111】
海南卫视,http://111.56.90.5/000000000000/5000000004000006211/1.m3u8$【111】
海南卫视,http://111.56.90.5/000000000000/4676690988340017823/1.m3u8$【111】
云南卫视,http://111.56.90.5/000000000000/1000000002000024694/1.m3u8$【111】
云南卫视,http://111.56.90.5/000000000000/5000000011000031120/1.m3u8$【111】
云南卫视,http://111.56.90.5/000000000000/5000000006000040019/1.m3u8$【111】
贵州卫视,http://111.56.90.5/000000000000/1000000002000003169/1.m3u8$【111】
贵州卫视,http://111.56.90.5/000000000000/5000000004000025843/1.m3u8$【111】
贵州卫视,http://111.56.90.5/000000000000/7043811073576958573/1.m3u8$【111】
黑龙江卫视,http://111.56.90.5/000000000000/1000000005000265029/1.m3u8$【111】
黑龙江卫视,http://111.56.90.5/000000000000/6000000001000016510/1.m3u8$【111】
黑龙江卫视,http://111.56.90.5/000000000000/1000000001000001925/1.m3u8$【111】
内蒙古卫视,http://111.56.90.5/000000000000/1000000002000014080/1.m3u8$【111】
内蒙古卫视,http://111.56.90.5/000000000000/5559214655508729688/1.m3u8$【111】
内蒙古卫视,http://111.56.90.5/000000000000/8960557517876415203/1.m3u8$【111】
西藏卫视,http://111.56.90.5/000000000000/1000000002000015894/1.m3u8$【111】
西藏卫视,http://111.56.90.5/000000000000/6603041244077933770/1.m3u8$【111】
西藏卫视,http://111.56.90.5/000000000000/7179022603798868495/1.m3u8$【111】
新疆卫视,http://111.56.90.5/000000000000/1000000002000029441/1.m3u8$【111】
新疆卫视,http://111.56.90.5/000000000000/5802765535081445534/1.m3u8$【111】
新疆卫视,http://111.56.90.5/000000000000/6986657152785429375/1.m3u8$【111】
新疆卫视,http://111.56.90.5/000000000000/5000000006000040018/1.m3u8$【111】
兵团卫视,http://111.56.90.5/000000000000/1000000005000266005/1.m3u8$【111】
兵团卫视,http://111.56.90.5/000000000000/5417511929530418061/1.m3u8$【111】
兵团卫视,http://111.56.90.5/000000000000/5000000006000040020/1.m3u8$【111】
三沙卫视,http://111.56.90.5/000000000000/5000000011000288016/1.m3u8$【111】
农林卫视,http://111.56.90.5/000000000000/1000000005000266003/1.m3u8$【111】
农林卫视,http://111.56.90.5/000000000000/2000000003000000046/1.m3u8$【111】
延边卫视,http://111.56.90.5/000000000000/1000000005000266008/1.m3u8$【111】
延边卫视,http://111.56.90.5/000000000000/2000000003000000049/1.m3u8$【111】
厦门卫视,http://111.56.90.5/000000000000/1000000005000266006/1.m3u8$【111】
安多卫视,http://111.56.90.5/000000000000/1000000005000266001/1.m3u8$【111】
安多卫视,http://111.56.90.5/000000000000/7248678452522064966/1.m3u8$【111】
康巴卫视,http://111.56.90.5/000000000000/1000000005000266002/1.m3u8$【111】
大湾区卫视,http://111.56.90.5/000000000000/1000000002000011619/1.m3u8$【111】

北京卫视,http://114.242.62.109:888/hls/17/index.m3u8$北京【114】
东方卫视,http://114.242.62.109:888/hls/43/index.m3u8$北京【114】
湖南卫视,http://114.242.62.109:888/hls/28/index.m3u8$北京【114】
江苏卫视,http://114.242.62.109:888/hls/30/index.m3u8$北京【114】
浙江卫视,http://114.242.62.109:888/hls/29/index.m3u8$北京【114】
广东卫视,http://114.242.62.109:888/hls/47/index.m3u8$北京【114】
重庆卫视,http://114.242.62.109:888/hls/44/index.m3u8$北京【114】
深圳卫视,http://114.242.62.109:888/hls/41/index.m3u8$北京【114】
四川卫视,http://114.242.62.109:888/hls/38/index.m3u8$北京【114】
广西卫视,http://114.242.62.109:888/hls/48/index.m3u8$北京【114】
天津卫视,http://114.242.62.109:888/hls/32/index.m3u8$北京【114】
安徽卫视,http://114.242.62.109:888/hls/31/index.m3u8$北京【114】
山东卫视,http://114.242.62.109:888/hls/34/index.m3u8$北京【114】
江西卫视,http://114.242.62.109:888/hls/39/index.m3u8$北京【114】
河北卫视,http://114.242.62.109:888/hls/46/index.m3u8$北京【114】
东南卫视,http://114.242.62.109:888/hls/45/index.m3u8$北京【114】
湖北卫视,http://114.242.62.109:888/hls/42/index.m3u8$北京【114】
贵州卫视,http://114.242.62.109:888/hls/40/index.m3u8$北京【114】
辽宁卫视,http://114.242.62.109:888/hls/33/index.m3u8$北京【114】
黑龙江卫视,http://114.242.62.109:888/hls/37/index.m3u8$北京【114】
云南卫视,http://114.242.62.109:888/hls/35/index.m3u8$北京【114】
兵团卫视,http://114.242.62.109:888/hls/36/index.m3u8$北京【114】
山西卫视,http://218.77.62.245:10999/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0$补充【218】
三沙卫视,http://156.233.226.200:10086/udp/239.11.0.177:1025$补充【156】

CCTV1,http://129.204.241.23:1234/608807420
CCTV2,http://129.204.241.23:1234/631780532
CCTV3,http://129.204.241.23:1234/624878271
CCTV4,http://129.204.241.23:1234/631780421
CCTV5,http://129.204.241.23:1234/641886683
CCTV5+,http://129.204.241.23:1234/641886773
CCTV6,http://129.204.241.23:1234/624878396
CCTV7,http://129.204.241.23:1234/673168121
CCTV8,http://129.204.241.23:1234/624878356
CCTV9,http://129.204.241.23:1234/673168140
CCTV10,http://129.204.241.23:1234/624878405
CCTV11,http://129.204.241.23:1234/667987558
CCTV12,http://129.204.241.23:1234/673168185
CCTV13,http://129.204.241.23:1234/608807423
CCTV14,http://129.204.241.23:1234/624878440
CCTV15,http://129.204.241.23:1234/673168223
CCTV17,http://129.204.241.23:1234/673168256
CCTV4,http://129.204.241.23:1234/608807419
CCTV4,http://129.204.241.23:1234/608807416
CGTN纪录,http://129.204.241.23:1234/609006487
CGTN阿拉伯语,http://129.204.241.23:1234/609154345
CGTN西班牙语,http://129.204.241.23:1234/609006450
CGTN法语,http://129.204.241.23:1234/609006476
CGTN俄语,http://129.204.241.23:1234/609006446
老故事,http://129.204.241.23:1234/884121956
发现之旅,http://129.204.241.23:1234/624878970
中学生,http://129.204.241.23:1234/708869532
CGTN,http://129.204.241.23:1234/609017205
东方卫视,http://129.204.241.23:1234/651632648
江苏卫视,http://129.204.241.23:1234/623899368
广东卫视,http://129.204.241.23:1234/608831231
北京卫视,http://129.204.241.23:1234/630287636
辽宁卫视,http://129.204.241.23:1234/630291707
河北卫视,http://129.204.241.23:1234/962042070
江西卫视,http://129.204.241.23:1234/783847495
河南卫视,http://129.204.241.23:1234/790187291
陕西卫视,http://129.204.241.23:1234/738910838
大湾区卫视,http://129.204.241.23:1234/608917627
湖北卫视,http://129.204.241.23:1234/947472496
吉林卫视,http://129.204.241.23:1234/947472500
青海卫视,http://129.204.241.23:1234/947472506
东南卫视,http://129.204.241.23:1234/849116810
海南卫视,http://129.204.241.23:1234/947472502
海峡卫视,http://129.204.241.23:1234/849119120
中国农林卫视,http://129.204.241.23:1234/956904896
兵团卫视,http://129.204.241.23:1234/956923145
宁夏卫视,http://129.204.241.23:1234/738910535
重庆卫视,http://129.204.241.23:1234/738910914
三沙卫视,http://129.204.241.23:1234/961023778
经典香港电影,http://129.204.241.23:1234/625703337
抗战经典影片,http://129.204.241.23:1234/617432318
新片放映厅,http://129.204.241.23:1234/619495952
CHC影迷电影,http://129.204.241.23:1234/952383261
CHC动作电影,http://129.204.241.23:1234/644368714
CHC家庭影院,http://129.204.241.23:1234/644368373
南方影视,http://129.204.241.23:1234/614961829
中国天气,http://129.204.241.23:1234/959986621
CETV1,http://129.204.241.23:1234/923287154
CETV2,http://129.204.241.23:1234/923287211
CETV4,http://129.204.241.23:1234/923287339
嘉佳卡通,http://129.204.241.23:1234/614952364
经典动画大集合,http://129.204.241.23:1234/629942219
新动漫,http://129.204.241.23:1234/961930269

CCTV1,http://119.29.13.205:1234/608807420
CCTV2,http://119.29.13.205:1234/631780532
CCTV3,http://119.29.13.205:1234/624878271
CCTV4,http://119.29.13.205:1234/631780421
CCTV5,http://119.29.13.205:1234/641886683
CCTV5+,http://119.29.13.205:1234/641886773
CCTV6,http://119.29.13.205:1234/624878396
CCTV7,http://119.29.13.205:1234/673168121
CCTV8,http://119.29.13.205:1234/624878356
CCTV9,http://119.29.13.205:1234/673168140
CCTV10,http://119.29.13.205:1234/624878405
CCTV11,http://119.29.13.205:1234/667987558
CCTV12,http://119.29.13.205:1234/673168185
CCTV13,http://119.29.13.205:1234/608807423
CCTV14,http://119.29.13.205:1234/624878440
CCTV15,http://119.29.13.205:1234/673168223
CCTV17,http://119.29.13.205:1234/673168256
CCTV4,http://119.29.13.205:1234/608807419
CCTV4,http://119.29.13.205:1234/608807416
CGTN纪录,http://119.29.13.205:1234/609006487
CGTN阿拉伯语,http://119.29.13.205:1234/609154345
CGTN西班牙语,http://119.29.13.205:1234/609006450
CGTN法语,http://119.29.13.205:1234/609006476
CGTN俄语,http://119.29.13.205:1234/609006446
老故事,http://119.29.13.205:1234/884121956
发现之旅,http://119.29.13.205:1234/624878970
中学生,http://119.29.13.205:1234/708869532
CGTN,http://119.29.13.205:1234/609017205
东方卫视,http://119.29.13.205:1234/651632648
江苏卫视,http://119.29.13.205:1234/623899368
广东卫视,http://119.29.13.205:1234/608831231
北京卫视,http://119.29.13.205:1234/630287636
辽宁卫视,http://119.29.13.205:1234/630291707
河北卫视,http://119.29.13.205:1234/962042070
江西卫视,http://119.29.13.205:1234/783847495
河南卫视,http://119.29.13.205:1234/790187291
陕西卫视,http://119.29.13.205:1234/738910838
大湾区卫视,http://119.29.13.205:1234/608917627
湖北卫视,http://119.29.13.205:1234/947472496
吉林卫视,http://119.29.13.205:1234/947472500
青海卫视,http://119.29.13.205:1234/947472506
东南卫视,http://119.29.13.205:1234/849116810
海南卫视,http://119.29.13.205:1234/947472502
海峡卫视,http://119.29.13.205:1234/849119120
中国农林卫视,http://119.29.13.205:1234/956904896
兵团卫视,http://119.29.13.205:1234/956923145
宁夏卫视,http://119.29.13.205:1234/738910535
重庆卫视,http://119.29.13.205:1234/738910914
三沙卫视,http://119.29.13.205:1234/961023778
经典香港电影,http://119.29.13.205:1234/625703337
抗战经典影片,http://119.29.13.205:1234/617432318
新片放映厅,http://119.29.13.205:1234/619495952
CHC影迷电影,http://119.29.13.205:1234/952383261
CHC动作电影,http://119.29.13.205:1234/644368714
